disease,drug,se
Asthma,Levalbuterol,Arthralgia
Asthma,Levalbuterol,Asthenia
Asthma,Levalbuterol,Asthma
Asthma,Levalbuterol,Ataxia
Asthma,Levalbuterol,Atrial fibrillation
Asthma,Levalbuterol,Back pain
Asthma,Levalbuterol,Blood pressure increased
Asthma,Levalbuterol,Body temperature increased
Asthma,Levalbuterol,Breast pain
Asthma,Levalbuterol,Bronchitis
Asthma,Levalbuterol,Bronchospasm
Asthma,Levalbuterol,Bronchospasm aggravated
Asthma,Levalbuterol,Bronchospasm paradoxical
Asthma,Levalbuterol,Cardiac disorder
Asthma,Levalbuterol,Cardiac fibrillation
Asthma,Levalbuterol,Cardiac murmur
Asthma,Levalbuterol,Cardiac output increased
Asthma,Levalbuterol,Chest discomfort
Asthma,Levalbuterol,Chest pain
Asthma,Levalbuterol,Chills
Asthma,Levalbuterol,Coagulopathy
Asthma,Levalbuterol,Cold symptoms
Asthma,Levalbuterol,Conjunctivitis
Asthma,Levalbuterol,Connective tissue disorder
Asthma,Levalbuterol,Constipation
Asthma,Levalbuterol,Cough
Asthma,Levalbuterol,Cough increased
Asthma,Levalbuterol,Cramp muscle
Asthma,Levalbuterol,Cramps of lower extremities
Asthma,Levalbuterol,Diabetes mellitus
Asthma,Levalbuterol,Diarrhoea
Asthma,Levalbuterol,Dizziness
Asthma,Levalbuterol,Drowsiness
Asthma,Levalbuterol,Dry mouth
Asthma,Levalbuterol,Dry throat
Asthma,Levalbuterol,Dysgeusia
Asthma,Levalbuterol,Dysmenorrhoea
Asthma,Levalbuterol,Dyspepsia
Asthma,Levalbuterol,Dysphonia
Asthma,Levalbuterol,Dyspnoea
Asthma,Levalbuterol,Ear disorder
Asthma,Levalbuterol,Ear pain
Asthma,Levalbuterol,Eczema
Asthma,Levalbuterol,Electrocardiogram ST segment depression
Asthma,Levalbuterol,Electrocardiogram abnormal
Asthma,Levalbuterol,Electrocardiogram change
Asthma,Levalbuterol,Emotional distress
Asthma,Levalbuterol,Epigastric distress
Asthma,Levalbuterol,Epigastric pain
Asthma,Levalbuterol,Epistaxis
Asthma,Levalbuterol,Eructation
Asthma,Levalbuterol,Euphoric mood
Asthma,Levalbuterol,Exacerbation of asthma
Asthma,Levalbuterol,Excitement
Asthma,Levalbuterol,Extrasystoles
Asthma,Levalbuterol,Eye pruritus
Asthma,Levalbuterol,Fatigue
Asthma,Levalbuterol,Feeling tense
Asthma,Levalbuterol,Flatulence
Asthma,Levalbuterol,Fluid overload
Asthma,Levalbuterol,Flushing
Asthma,Levalbuterol,Gagging
Asthma,Levalbuterol,Gastroenteritis
Asthma,Levalbuterol,Gastrointestinal disorder
Asthma,Levalbuterol,Gastrointestinal symptom NOS
Asthma,Levalbuterol,Gastrooesophageal reflux disease
Asthma,Levalbuterol,Glossitis
Asthma,Levalbuterol,Glycosuria
Asthma,Levalbuterol,Haematuria
Asthma,Levalbuterol,Haemorrhage
Asthma,Levalbuterol,Headache
Asthma,Levalbuterol,Heartburn
Asthma,Levalbuterol,Herpes simplex
Asthma,Levalbuterol,Hoarseness
Asthma,Levalbuterol,Hyperaesthesia
Asthma,Levalbuterol,Hyperglycaemia
Asthma,Levalbuterol,Hyperkinesia
Asthma,Levalbuterol,Hypersensitivity
Asthma,Levalbuterol,Hypertension
Asthma,Levalbuterol,Hypertonia
Asthma,Levalbuterol,Hyperventilation
Asthma,Levalbuterol,Hypoaesthesia
Asthma,Levalbuterol,Hypoglycaemia
Asthma,Levalbuterol,Hypokalaemia
Asthma,Levalbuterol,Hypotension
Asthma,Levalbuterol,Ileus
Asthma,Levalbuterol,Immune system disorder
Asthma,Levalbuterol,Increased appetite
Asthma,Levalbuterol,Infection
Asthma,Levalbuterol,Inflammation
Asthma,Levalbuterol,Influenza
Asthma,Levalbuterol,Insomnia
Asthma,Levalbuterol,Irritability
Asthma,Levalbuterol,Jaundice
Asthma,Levalbuterol,Ketosis
Asthma,Levalbuterol,Lactic acidosis
Asthma,Levalbuterol,Laryngitis
Asthma,Levalbuterol,Lightheadedness
Asthma,Levalbuterol,Lung disorder
Asthma,Levalbuterol,Lymphadenopathy
Asthma,Levalbuterol,Malaise
Asthma,Levalbuterol,Malnutrition
Asthma,Levalbuterol,Mediastinal disorder
Asthma,Levalbuterol,Mental disorder
Asthma,Levalbuterol,Metabolic acidosis
Asthma,Levalbuterol,Migraine
Asthma,Levalbuterol,Mood swings
Asthma,Levalbuterol,Multiple pregnancy
Asthma,Levalbuterol,Muscle spasms
Asthma,Levalbuterol,Musculoskeletal disorder
Asthma,Levalbuterol,Musculoskeletal pain
Asthma,Levalbuterol,Myalgia
Asthma,Levalbuterol,Mydriasis
Asthma,Levalbuterol,Myocardial ischaemia
Asthma,Levalbuterol,Nasal congestion
Asthma,Levalbuterol,Nasopharyngitis
Asthma,Levalbuterol,Nausea
Asthma,Levalbuterol,Nervous system disorder
Asthma,Levalbuterol,Nervousness
Asthma,Levalbuterol,Neuropathy peripheral
Asthma,Levalbuterol,Nightmare
Asthma,Levalbuterol,Oedema
Asthma,Levalbuterol,Oropharyngeal swelling
Asthma,Levalbuterol,Otitis media
Asthma,Levalbuterol,Pain
Asthma,Levalbuterol,Pallor
Asthma,Levalbuterol,Palpitations
Asthma,Levalbuterol,Paraesthesia
Asthma,Levalbuterol,Peripheral vasodilatation
Asthma,Levalbuterol,Pharyngitis
Asthma,Levalbuterol,Pre-eclampsia
Asthma,Levalbuterol,Pruritus
Asthma,Levalbuterol,Pulmonary oedema
Asthma,Levalbuterol,Rash
Asthma,Levalbuterol,Respiratory tract infection
Asthma,Levalbuterol,Rhinitis
Asthma,Levalbuterol,Rigors
Asthma,Levalbuterol,Saliva altered
Asthma,Levalbuterol,Sensation of warmth
Asthma,Levalbuterol,Shakiness
Asthma,Levalbuterol,Sinusitis
Asthma,Levalbuterol,Skin disorder
Asthma,Levalbuterol,Somnolence
Asthma,Levalbuterol,Stomach ache
Asthma,Levalbuterol,Stomatitis
Asthma,Levalbuterol,Strangury
Asthma,Levalbuterol,Supraventricular tachycardia
Asthma,Levalbuterol,Sweating
Asthma,Levalbuterol,Sweating increased
Asthma,Levalbuterol,Syncope
Asthma,Levalbuterol,Tachycardia
Asthma,Levalbuterol,Tachycardia foetal
Asthma,Levalbuterol,Taste altered
Asthma,Levalbuterol,Tension
Asthma,Levalbuterol,Thinking abnormal
Asthma,Levalbuterol,Throat irritation
Asthma,Levalbuterol,Tinnitus
Asthma,Levalbuterol,Tongue discolouration
Asthma,Levalbuterol,Tongue ulceration
Asthma,Levalbuterol,Tracheitis
Asthma,Levalbuterol,Tremor
Asthma,Levalbuterol,Tremor fine
Asthma,Levalbuterol,Tremor muscle
Asthma,Levalbuterol,Tremor of hands
Asthma,Levalbuterol,Type I hypersensitivity
Asthma,Levalbuterol,Unspecified disorder of autonomic nervous system
Asthma,Levalbuterol,Upper respiratory tract infection
Asthma,Levalbuterol,Urinary tract disorder
Asthma,Levalbuterol,Urinary tract infection
Asthma,Levalbuterol,Urticaria
Asthma,Levalbuterol,Vaginal moniliasis
Asthma,Levalbuterol,Vascular resistance systemic
Asthma,Levalbuterol,Vasodilation
Asthma,Levalbuterol,Vertigo
Asthma,Levalbuterol,Viral infection
Asthma,Levalbuterol,Vomiting
Asthma,Levalbuterol,Wheezing
Asthma,Pirbuterol,Abdominal pain
Asthma,Pirbuterol,Alopecia
Asthma,Pirbuterol,Anorexia
Asthma,Pirbuterol,Anxiety
Asthma,Pirbuterol,Asthenia
Asthma,Pirbuterol,Back pain
Asthma,Pirbuterol,Chest pain
Asthma,Pirbuterol,Confusional state
Asthma,Pirbuterol,Contusion
Asthma,Pirbuterol,Cough
Asthma,Pirbuterol,Cramp muscle
Asthma,Pirbuterol,Dermatitis
Asthma,Pirbuterol,Diarrhoea
Asthma,Pirbuterol,Dizziness
Asthma,Pirbuterol,Drowsiness
Asthma,Pirbuterol,Dry mouth
Asthma,Pirbuterol,Fatigue
Asthma,Pirbuterol,Flushing
Asthma,Pirbuterol,Glossitis
Asthma,Pirbuterol,Headache
Asthma,Pirbuterol,Hoarseness
Asthma,Pirbuterol,Hyperkinesia
Asthma,Pirbuterol,Hypotension
Asthma,Pirbuterol,Insomnia
Asthma,Pirbuterol,Ischaemia
Asthma,Pirbuterol,Migraine
Asthma,Pirbuterol,Nasal congestion
Asthma,Pirbuterol,Nausea
Asthma,Pirbuterol,Nervousness
Asthma,Pirbuterol,Numbness
Asthma,Pirbuterol,Oedema
Asthma,Pirbuterol,Palpitations
Asthma,Pirbuterol,Productive cough
Asthma,Pirbuterol,Pruritus
Asthma,Pirbuterol,Rash
Asthma,Pirbuterol,Skipped beats
Asthma,Pirbuterol,Stomatitis
Asthma,Pirbuterol,Syncope
Asthma,Pirbuterol,Tachycardia
Asthma,Pirbuterol,Throat sore
Asthma,Pirbuterol,Tremor
Asthma,Pirbuterol,Vomiting
Asthma,Pirbuterol,Weight increased
Asthma,Pirbuterol,Wheezing
Asthma,Montelukast,Bleeding tendency
Asthma,Montelukast,Disorientation
Asthma,Montelukast,Disturbance in attention
Asthma,Montelukast,"Hallucination, visual"
Asthma,Montelukast,Hepatic infiltration eosinophilic
Asthma,Montelukast,Hepatitis cholestatic
Asthma,Montelukast,Infestation NOS
Asthma,Montelukast,Liver injury
Asthma,Montelukast,Sinus headache
Asthma,Montelukast,Suicidal behaviour
Asthma,Montelukast,Temper tantrum
Asthma,Montelukast,Unspecified disorder of skin and subcutaneous tissue
Asthma,Montelukast,Vasculitic rash
Asthma,Zafirlukast,Abdominal pain
Asthma,Zafirlukast,Accidental injury
Asthma,Zafirlukast,Agranulocytosis
Asthma,Zafirlukast,Allergic granulomatous angiitis
Asthma,Zafirlukast,Angioedema
Asthma,Zafirlukast,Arthralgia
Asthma,Zafirlukast,Asthenia
Asthma,Zafirlukast,Back pain
Asthma,Zafirlukast,Blister
Asthma,Zafirlukast,Blood disorder
Asthma,Zafirlukast,Body temperature increased
Asthma,Zafirlukast,Contusion
Asthma,Zafirlukast,Diarrhoea
Asthma,Zafirlukast,Digestion impaired
Asthma,Zafirlukast,Discomfort
Asthma,Zafirlukast,Dizziness
Asthma,Zafirlukast,Dyspepsia
Asthma,Zafirlukast,Eosinophilia
Asthma,Zafirlukast,Eosinophilic pneumonia
Asthma,Zafirlukast,Fatigue
Asthma,Zafirlukast,Haematemesis
Asthma,Zafirlukast,Haemoptysis
Asthma,Zafirlukast,Haemorrhage
Asthma,Zafirlukast,Headache
Asthma,Zafirlukast,Hepatic failure
Asthma,Zafirlukast,Hepatic function abnormal
Asthma,Zafirlukast,Hepatitis
Asthma,Zafirlukast,Hepatitis fulminant
Asthma,Zafirlukast,Hepatotoxicity
Asthma,Zafirlukast,Hyperbilirubinaemia
Asthma,Zafirlukast,Hypersensitivity
Asthma,Zafirlukast,Increased tendency to bruise
Asthma,Zafirlukast,Infection
Asthma,Zafirlukast,Influenza like illness
Asthma,Zafirlukast,Insomnia
Asthma,Zafirlukast,Jaundice
Asthma,Zafirlukast,Liver injury
Asthma,Zafirlukast,Malaise
Asthma,Zafirlukast,Myalgia
Asthma,Zafirlukast,Nausea
Asthma,Zafirlukast,Neuropathy
Asthma,Zafirlukast,Neutropenia
Asthma,Zafirlukast,Numbness
Asthma,Zafirlukast,Oedema
Asthma,Zafirlukast,Pain
Asthma,Zafirlukast,Pruritus
Asthma,Zafirlukast,Raised liver function tests
Asthma,Zafirlukast,Rash
Asthma,Zafirlukast,Rectal haemorrhage
Asthma,Zafirlukast,Sinusitis
Asthma,Zafirlukast,Swelling
Asthma,Zafirlukast,Throat sore
Asthma,Zafirlukast,Thrombocytopenia
Asthma,Zafirlukast,Upset stomach
Asthma,Zafirlukast,Urticaria
Asthma,Zafirlukast,Vasculitic rash
Asthma,Zafirlukast,Vasculitis
Asthma,Zafirlukast,Vomiting
Asthma,Zileuton,Abdominal pain upper
Asthma,Zileuton,Arthralgia
Asthma,Zileuton,Body temperature increased
Asthma,Zileuton,Chest pain
Asthma,Zileuton,Chronic liver disease
Asthma,Zileuton,Conjunctivitis
Asthma,Zileuton,Constipation
Asthma,Zileuton,Diarrhoea
Asthma,Zileuton,Dizziness
Asthma,Zileuton,Dyspepsia
Asthma,Zileuton,Flatulence
Asthma,Zileuton,Gastrointestinal disorder
Asthma,Zileuton,Headache
Asthma,Zileuton,Hepatitis
Asthma,Zileuton,Hepatotoxicity
Asthma,Zileuton,Hyperbilirubinaemia
Asthma,Zileuton,Hypersensitivity
Asthma,Zileuton,Hypertonia
Asthma,Zileuton,Insomnia
Asthma,Zileuton,Jaundice
Asthma,Zileuton,Liver injury
Asthma,Zileuton,Lymphadenopathy
Asthma,Zileuton,Malaise
Asthma,Zileuton,Muscle rigidity
Asthma,Zileuton,Myalgia
Asthma,Zileuton,Nausea
Asthma,Zileuton,Neck pain
Asthma,Zileuton,Nervousness
Asthma,Zileuton,Pain
Asthma,Zileuton,Pharyngolaryngeal pain
Asthma,Zileuton,Pruritus
Asthma,Zileuton,Rash
Asthma,Zileuton,Sinusitis
Asthma,Zileuton,Sleep disorder
Asthma,Zileuton,Somnolence
Asthma,Zileuton,Upper respiratory tract infection
Asthma,Zileuton,Urinary tract infection
Asthma,Zileuton,Urticaria
Asthma,Zileuton,Vaginal inflammation
Asthma,Zileuton,Vomiting
Asthma,Zileuton,White blood cell count low
Asthma,Omalizumab,Coughing up blood
Asthma,Omalizumab,Ear pain
Asthma,Omalizumab,"Fever, muscle aches, rash, and swollen glands within 1 to 5 days after receiving a dose of omalizumab injection"
Asthma,Omalizumab,Headache
Asthma,Omalizumab,Nausea
Asthma,Omalizumab,Nose bleeds
Asthma,Omalizumab,"Pain, especially in the joints, arms, or legs"
Asthma,Omalizumab,"Pain, redness, swelling, warmth, burning, bruising, hardness, or itching in the place omalizumab was injected"
Asthma,Omalizumab,"Severe pain, numbness, and tingling in your hands and feet"
Asthma,Omalizumab,Shortness of breath
Asthma,Omalizumab,Skin sores
Asthma,Omalizumab,Stomach pain
Asthma,Omalizumab,"Swelling inside of the nose, throat, or sinuses"
Asthma,Omalizumab,Tiredness
Asthma,Mepolizumab,Back pain
Asthma,Mepolizumab,Chest tightness
Asthma,Mepolizumab,Cough
Asthma,Mepolizumab,Difficulty swallowing
Asthma,Mepolizumab,"Dry and itchy skin with or without red, scaly rashes"
Asthma,Mepolizumab,Fainting or dizziness
Asthma,Mepolizumab,Flushing
Asthma,Mepolizumab,Headache
Asthma,Mepolizumab,Hives
Asthma,Mepolizumab,Joint pain
Asthma,Mepolizumab,Mouth or throat pain
Asthma,Mepolizumab,Muscle spasms
Asthma,Mepolizumab,Nasal dryness
Asthma,Mepolizumab,"Pain, redness, swelling, warmth, burning, or itching in the place mepolizumab was injected"
Asthma,Mepolizumab,Rash
Asthma,Mepolizumab,Shortness of breath
Asthma,Mepolizumab,"Swelling of the face, mouth, and tongue"
Asthma,Mepolizumab,Wheezing or difficulty breathing
Asthma,Reslizumab,Cough
Asthma,Reslizumab,Difficulty with swallowing
Asthma,Reslizumab,Dizziness
Asthma,Reslizumab,"Dizziness, faintness, or light-headedness when getting up suddenly from a lying or sitting position"
Asthma,Reslizumab,Fast heartbeat
Asthma,Reslizumab,"Hives, itching, or skin rash"
Asthma,Reslizumab,"Puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue"
Asthma,Reslizumab,Redness of the skin
Asthma,Reslizumab,Throat pain
Asthma,Reslizumab,Tightness in the chest
Asthma,Reslizumab,Unusual tiredness or weakness
Asthma,Benralizumab,Fainting or dizziness
Asthma,Benralizumab,Flushing
Asthma,Benralizumab,Headache
Asthma,Benralizumab,Hives
Asthma,Benralizumab,Rash
Asthma,Benralizumab,Sore throat
Asthma,Benralizumab,"Swelling of the face, mouth, and tongue"
Asthma,Benralizumab,Wheezing or difficulty breathing
Asthma,Theophylline,Abdominal pain
Asthma,Theophylline,Acute overdose
Asthma,Theophylline,Agitation
Asthma,Theophylline,Albuminuria
Asthma,Theophylline,Alopecia
Asthma,Theophylline,Anaphylactic shock
Asthma,Theophylline,Anaphylactoid reaction
Asthma,Theophylline,Anorexia
Asthma,Theophylline,Anxiety
Asthma,Theophylline,Arrhythmia
Asthma,Theophylline,Atrial fibrillation
Asthma,Theophylline,Body temperature increased
Asthma,Theophylline,Brain injury
Asthma,Theophylline,Cardiac flutter
Asthma,Theophylline,Cardio-respiratory arrest
Asthma,Theophylline,Coma
Asthma,Theophylline,Convulsion
Asthma,Theophylline,Convulsions generalised
Asthma,Theophylline,Dermatitis contact
Asthma,Theophylline,Dermatitis exfoliative
Asthma,Theophylline,Diarrhoea
Asthma,Theophylline,Disorientation
Asthma,Theophylline,Diuresis
Asthma,Theophylline,Dizziness
Asthma,Theophylline,Epigastric pain
Asthma,Theophylline,Extrasystoles
Asthma,Theophylline,Extravasation
Asthma,Theophylline,Fluid overload
Asthma,Theophylline,Flushing
Asthma,Theophylline,Gastric irritation
Asthma,Theophylline,Gastrooesophageal reflux disease
Asthma,Theophylline,Haematemesis
Asthma,Theophylline,Haematuria
Asthma,Theophylline,Haemodynamic instability
Asthma,Theophylline,Headache
Asthma,Theophylline,Hypercalcaemia
Asthma,Theophylline,Hyperglycaemia
Asthma,Theophylline,Hypersensitivity
Asthma,Theophylline,Hyperuricaemia
Asthma,Theophylline,Hypokalaemia
Asthma,Theophylline,Hypotension
Asthma,Theophylline,Hypoxic-ischaemic encephalopathy
Asthma,Theophylline,Inappropriate antidiuretic hormone secretion
Asthma,Theophylline,Infection
Asthma,Theophylline,Insomnia
Asthma,Theophylline,Intoxication
Asthma,Theophylline,Irritability
Asthma,Theophylline,Multifocal atrial tachycardia
Asthma,Theophylline,Nausea
Asthma,Theophylline,Nervous system disorder
Asthma,Theophylline,Nervousness
Asthma,Theophylline,Palpitations
Asthma,Theophylline,Peptic ulcer
Asthma,Theophylline,Persistent vomiting
Asthma,Theophylline,Phlebitis
Asthma,Theophylline,Pruritus
Asthma,Theophylline,Rash
Asthma,Theophylline,Respiratory arrest
Asthma,Theophylline,Respiratory depression
Asthma,Theophylline,Rhabdomyolysis
Asthma,Theophylline,Shock
Asthma,Theophylline,Sinus tachycardia
Asthma,Theophylline,Status epilepticus
Asthma,Theophylline,Supraventricular tachycardia
Asthma,Theophylline,Tachycardia
Asthma,Theophylline,Tachypnoea
Asthma,Theophylline,Tremor
Asthma,Theophylline,Tremor muscle
Asthma,Theophylline,Urinary retention
Asthma,Theophylline,Urticaria
Asthma,Theophylline,Venous thrombosis
Asthma,Theophylline,Ventricular arrhythmia
Asthma,Theophylline,Ventricular extrasystoles
Asthma,Theophylline,Vomiting
Rheumatoid arthritis,Ibuprofen,Abdominal bloating
Rheumatoid arthritis,Ibuprofen,Abdominal cramps
Rheumatoid arthritis,Ibuprofen,Abdominal discomfort
Rheumatoid arthritis,Ibuprofen,Abdominal distension
Rheumatoid arthritis,Ibuprofen,Abdominal distress
Rheumatoid arthritis,Ibuprofen,Abdominal pain
Rheumatoid arthritis,Ibuprofen,Abnormal dreams
Rheumatoid arthritis,Ibuprofen,Acidosis
Rheumatoid arthritis,Ibuprofen,Adrenal insufficiency
Rheumatoid arthritis,Ibuprofen,Agitation
Rheumatoid arthritis,Ibuprofen,Agranulocytosis
Rheumatoid arthritis,Ibuprofen,Alopecia
Rheumatoid arthritis,Ibuprofen,Amblyopia
Rheumatoid arthritis,Ibuprofen,Anaemia
Rheumatoid arthritis,Ibuprofen,Anaphylactic shock
Rheumatoid arthritis,Ibuprofen,Anaphylactoid reaction
Rheumatoid arthritis,Ibuprofen,Angioedema
Rheumatoid arthritis,Ibuprofen,Anorexia
Rheumatoid arthritis,Ibuprofen,Anxiety
Rheumatoid arthritis,Ibuprofen,Aplastic anaemia
Rheumatoid arthritis,Ibuprofen,Apnoea
Rheumatoid arthritis,Ibuprofen,Appetite absent
Rheumatoid arthritis,Ibuprofen,Arrhythmia
Rheumatoid arthritis,Ibuprofen,Arthralgia
Rheumatoid arthritis,Ibuprofen,Arthritis
Rheumatoid arthritis,Ibuprofen,Asthenia
Rheumatoid arthritis,Ibuprofen,Asthma
Rheumatoid arthritis,Ibuprofen,Asthma aggravated
Rheumatoid arthritis,Ibuprofen,Atelectasis
Rheumatoid arthritis,Ibuprofen,Azotaemia
Rheumatoid arthritis,Ibuprofen,Azotaemia of renal origin
Rheumatoid arthritis,Ibuprofen,Bacteraemia
Rheumatoid arthritis,Ibuprofen,Bad taste
Rheumatoid arthritis,Ibuprofen,Benign intracranial hypertension
Rheumatoid arthritis,Ibuprofen,Bleeding time prolonged
Rheumatoid arthritis,Ibuprofen,Blood and lymphatic system disorders
Rheumatoid arthritis,Ibuprofen,Blood creatinine increased
Rheumatoid arthritis,Ibuprofen,Blood disorder
Rheumatoid arthritis,Ibuprofen,Blood urea increased
Rheumatoid arthritis,Ibuprofen,Bronchitis
Rheumatoid arthritis,Ibuprofen,Bronchopulmonary dysplasia
Rheumatoid arthritis,Ibuprofen,Bronchospasm
Rheumatoid arthritis,Ibuprofen,Cardiac failure
Rheumatoid arthritis,Ibuprofen,Cardiac failure congestive
Rheumatoid arthritis,Ibuprofen,Cataract
Rheumatoid arthritis,Ibuprofen,Cerebrovascular accident
Rheumatoid arthritis,Ibuprofen,Chills
Rheumatoid arthritis,Ibuprofen,Cholestasis
Rheumatoid arthritis,Ibuprofen,Cognitive impairment
Rheumatoid arthritis,Ibuprofen,Colitis
Rheumatoid arthritis,Ibuprofen,Colitis ulcerative
Rheumatoid arthritis,Ibuprofen,Color vision change
Rheumatoid arthritis,Ibuprofen,Coma
Rheumatoid arthritis,Ibuprofen,Confusional state
Rheumatoid arthritis,Ibuprofen,Conjunctivitis
Rheumatoid arthritis,Ibuprofen,Constipation
Rheumatoid arthritis,Ibuprofen,Contusion
Rheumatoid arthritis,Ibuprofen,Convulsion
Rheumatoid arthritis,Ibuprofen,Cough
Rheumatoid arthritis,Ibuprofen,Cough increased
Rheumatoid arthritis,Ibuprofen,Cramp muscle
Rheumatoid arthritis,Ibuprofen,Creatinine increased
Rheumatoid arthritis,Ibuprofen,Creatinine low
Rheumatoid arthritis,Ibuprofen,Crohn's disease
Rheumatoid arthritis,Ibuprofen,Cystitis
Rheumatoid arthritis,Ibuprofen,Decreased appetite
Rheumatoid arthritis,Ibuprofen,Depression
Rheumatoid arthritis,Ibuprofen,Dermatitis bullous
Rheumatoid arthritis,Ibuprofen,Dermatitis exfoliative
Rheumatoid arthritis,Ibuprofen,Diarrhoea
Rheumatoid arthritis,Ibuprofen,Diplopia
Rheumatoid arthritis,Ibuprofen,Disorientation
Rheumatoid arthritis,Ibuprofen,Dizziness
Rheumatoid arthritis,Ibuprofen,Drowsiness
Rheumatoid arthritis,Ibuprofen,Dry eye
Rheumatoid arthritis,Ibuprofen,Dry mouth
Rheumatoid arthritis,Ibuprofen,Duodenal ulcer
Rheumatoid arthritis,Ibuprofen,Duodenitis
Rheumatoid arthritis,Ibuprofen,Dyspepsia
Rheumatoid arthritis,Ibuprofen,Dysphagia
Rheumatoid arthritis,Ibuprofen,Dyspnoea
Rheumatoid arthritis,Ibuprofen,Dysuria
Rheumatoid arthritis,Ibuprofen,Ecchymosis
Rheumatoid arthritis,Ibuprofen,Eosinophilia
Rheumatoid arthritis,Ibuprofen,Epidermal necrosis
Rheumatoid arthritis,Ibuprofen,Epigastric pain
Rheumatoid arthritis,Ibuprofen,Epistaxis
Rheumatoid arthritis,Ibuprofen,Erectile dysfunction
Rheumatoid arthritis,Ibuprofen,Eructation
Rheumatoid arthritis,Ibuprofen,Eruption
Rheumatoid arthritis,Ibuprofen,Erythema
Rheumatoid arthritis,Ibuprofen,Erythema multiforme
Rheumatoid arthritis,Ibuprofen,Euphoric mood
Rheumatoid arthritis,Ibuprofen,Exacerbation of asthma
Rheumatoid arthritis,Ibuprofen,Exhaustion
Rheumatoid arthritis,Ibuprofen,Fatigue
Rheumatoid arthritis,Ibuprofen,Flatulence
Rheumatoid arthritis,Ibuprofen,Fluid retention
Rheumatoid arthritis,Ibuprofen,Foot edema
Rheumatoid arthritis,Ibuprofen,Gastric ulcer
Rheumatoid arthritis,Ibuprofen,Gastritis
Rheumatoid arthritis,Ibuprofen,Gastroenteritis
Rheumatoid arthritis,Ibuprofen,Gastrointestinal disorder
Rheumatoid arthritis,Ibuprofen,Gastrointestinal haemorrhage
Rheumatoid arthritis,Ibuprofen,Gastrointestinal perforation
Rheumatoid arthritis,Ibuprofen,Gastrooesophageal reflux disease
Rheumatoid arthritis,Ibuprofen,Glomerular filtration rate decreased
Rheumatoid arthritis,Ibuprofen,Glomerulitis
Rheumatoid arthritis,Ibuprofen,Glossitis
Rheumatoid arthritis,Ibuprofen,Glycosuria
Rheumatoid arthritis,Ibuprofen,Gynaecomastia
Rheumatoid arthritis,Ibuprofen,Haematemesis
Rheumatoid arthritis,Ibuprofen,Haematuria
Rheumatoid arthritis,Ibuprofen,Haemoglobin decreased
Rheumatoid arthritis,Ibuprofen,Haemolytic anaemia
Rheumatoid arthritis,Ibuprofen,Haemorrhage
Rheumatoid arthritis,Ibuprofen,Hallucination
Rheumatoid arthritis,Ibuprofen,Headache
Rheumatoid arthritis,Ibuprofen,Hearing impaired
Rheumatoid arthritis,Ibuprofen,Heartburn
Rheumatoid arthritis,Ibuprofen,Henoch-Schonlein purpura
Rheumatoid arthritis,Ibuprofen,Hepatic enzyme increased
Rheumatoid arthritis,Ibuprofen,Hepatic failure
Rheumatoid arthritis,Ibuprofen,Hepatic function abnormal
Rheumatoid arthritis,Ibuprofen,Hepatic necrosis
Rheumatoid arthritis,Ibuprofen,Hepatitis
Rheumatoid arthritis,Ibuprofen,Hepatitis toxic
Rheumatoid arthritis,Ibuprofen,Hepatobiliary disease
Rheumatoid arthritis,Ibuprofen,Hepatorenal syndrome
Rheumatoid arthritis,Ibuprofen,Hiccups
Rheumatoid arthritis,Ibuprofen,Hoarseness
Rheumatoid arthritis,Ibuprofen,Hyperglycaemia
Rheumatoid arthritis,Ibuprofen,Hyperkinesia
Rheumatoid arthritis,Ibuprofen,Hypernatraemia
Rheumatoid arthritis,Ibuprofen,Hypersensitivity
Rheumatoid arthritis,Ibuprofen,Hypertension
Rheumatoid arthritis,Ibuprofen,Hypertonia
Rheumatoid arthritis,Ibuprofen,Hypoalbuminaemia
Rheumatoid arthritis,Ibuprofen,Hypocalcaemia
Rheumatoid arthritis,Ibuprofen,Hypoglycaemia
Rheumatoid arthritis,Ibuprofen,Hypoglycemic reaction
Rheumatoid arthritis,Ibuprofen,Hypokalaemia
Rheumatoid arthritis,Ibuprofen,Hyponatraemia
Rheumatoid arthritis,Ibuprofen,Hypoproteinaemia
Rheumatoid arthritis,Ibuprofen,Hypotension
Rheumatoid arthritis,Ibuprofen,Hypoxemia
Rheumatoid arthritis,Ibuprofen,Ileus
Rheumatoid arthritis,Ibuprofen,Immune system disorder
Rheumatoid arthritis,Ibuprofen,Infection
Rheumatoid arthritis,Ibuprofen,Influenza
Rheumatoid arthritis,Ibuprofen,Influenza-like symptoms
Rheumatoid arthritis,Ibuprofen,Inguinal hernia
Rheumatoid arthritis,Ibuprofen,Injection site reaction
Rheumatoid arthritis,Ibuprofen,Insomnia
Rheumatoid arthritis,Ibuprofen,Intestinal perforation
Rheumatoid arthritis,Ibuprofen,Intraventricular haemorrhage
Rheumatoid arthritis,Ibuprofen,Jaundice
Rheumatoid arthritis,Ibuprofen,Kidney function abnormal
Rheumatoid arthritis,Ibuprofen,Lactic dehydrogenase activity increased
Rheumatoid arthritis,Ibuprofen,Leukopenia
Rheumatoid arthritis,Ibuprofen,Libido decreased
Rheumatoid arthritis,Ibuprofen,Lightheadedness
Rheumatoid arthritis,Ibuprofen,Liver disorder
